issue,experiment_slug,variant,seed,metric,value,params,date
97,002-momentum-collapse-boundary,full_m0.999,0,embedding_std,0.4122,"{""momentum"":0.999,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,0,effective_rank,2.5444,"{""momentum"":0.999,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,0,embedding_std,0.4409,"{""momentum"":0.999,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,0,effective_rank,3.7528,"{""momentum"":0.999,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,0,embedding_std,0.3374,"{""momentum"":0.999,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,1,effective_rank,1.6688,"{""momentum"":0.999,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,1,embedding_std,0.2891,"{""momentum"":0.999,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,1,effective_rank,1.5149,"{""momentum"":0.999,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,1,embedding_std,0.3746,"{""momentum"":0.999,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,1,effective_rank,2.2974,"{""momentum"":0.999,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,1,embedding_std,0.4814,"{""momentum"":0.999,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,1,effective_rank,3.1490,"{""momentum"":0.999,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,1,embedding_std,0.3149,"{""momentum"":0.999,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,2,effective_rank,1.6193,"{""momentum"":0.999,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,2,embedding_std,0.1785,"{""momentum"":0.999,""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,2,effective_rank,1.4840,"{""momentum"":0.999,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.999,2,embedding_std,0.2759,"{""momentum"":0.999,""steps"":1000}",2026-08-14
